name,score,evaluate,meta,url,cover_url
Python数据分析,8.2,19,"麦金尼(WesMcKinney),东南大学出版社,2013-5-1,CNY74.00",https://book.douban.com/subject/26274624/,https://img3.doubanio.com/view/subject/l/public/s27909013.jpg
像计算机科学家一样思考Python,8.1,168,"(美)AllenB.Downey,赵普明,人民邮电出版社,2013-8,49",https://book.douban.com/subject/25728189/,https://img3.doubanio.com/view/subject/l/public/s27053465.jpg
Python编程 第4版 影印版 上下册 : Python编程,8.1,15,"鲁兹,东南大学出版社,2011-5,148.00元",https://book.douban.com/subject/6710638/,https://img3.doubanio.com/view/subject/l/public/s6774835.jpg
"Learning Python, 4th Edition, Ebook : Powerful Object-Oriented Programming",8.1,37,"MarkLutz,O'ReillyMedia,2009-9",https://book.douban.com/subject/4082016/,https://img3.doubanio.com/view/subject/l/public/s4014801.jpg
Python 3 Object Oriented Programming,8.1,16,"DustyPhillips,Packt,2010,£21.99",https://book.douban.com/subject/4823621/,https://img1.doubanio.com/view/subject/l/public/s4351127.jpg
Python科学计算(第2版),8.1,23,"张若愚,清华大学出版社,2016-4-29,118",https://book.douban.com/subject/26784317/,https://img3.doubanio.com/view/subject/l/public/s28746611.jpg
The Hitchhiker's Guide to Python : Best Practices for Development,8.1,33,"KennethReitz,TanyaSchlusser,O'ReillyMedia,2016-8-25,USD24.99",https://book.douban.com/subject/26791779/,https://img3.doubanio.com/view/subject/l/public/s28714510.jpg
机器学习实战,8.1,812,"PeterHarrington,李锐,李鹏,曲亚东,王斌,人民邮电出版社,2013-6,69.00元",https://book.douban.com/subject/24703171/,https://img3.doubanio.com/view/subject/l/public/s26696371.jpg
Machine Learning : An Algorithmic Perspective,8.1,19,"StephenMarsland,ChapmanandHall,CRC,2009-4-8,GBP52.99",https://book.douban.com/subject/3887824/,https://img1.doubanio.com/view/subject/l/public/s20084578.jpg
"Learning Website Development with Django : A beginner's tutorial to building web applications, quickly and",8.1,49,"AymanHourieh,PacktPublishing,2008-4-11,USD39.99",https://book.douban.com/subject/3086810/,https://img3.doubanio.com/view/subject/l/public/s28303805.jpg
